timestamp_ms,value,lead_ok
576205,529,1
576209,565,1
576213,534,1
576217,501,1
576221,496,1
576225,529,1
576229,566,1
576233,538,1
576237,508,1
576241,505,1
576245,534,1
576249,567,1
576253,538,1
576257,507,1
576261,504,1
576265,532,1
576269,562,1
576273,538,1
576277,512,1
576281,508,1
576285,536,1
576289,570,1
576293,552,1
576297,528,1
576301,525,1
576305,543,1
576309,560,1
576313,553,1
576317,553,1
576321,562,1
576325,580,1
576329,594,1
576333,590,1
576337,580,1
576341,573,1
576345,571,1
576349,564,1
576353,553,1
576357,544,1
576361,534,1
576365,532,1
576369,528,1
576373,517,1
576377,513,1
576381,514,1
576385,520,1
576389,521,1
576393,516,1
576397,514,1
576401,518,1
576405,524,1
576409,528,1
576413,522,1
576417,521,1
576421,521,1
576425,526,1
576429,528,1
576433,524,1
576437,522,1
576441,523,1
576445,529,1
576449,529,1
576453,517,1
576457,488,1
576461,417,1
576465,322,1
576469,243,1
576473,214,1
576477,276,1
576481,469,1
576485,776,1
576489,1024,1
576493,1024,1
576497,1024,1
576501,1024,1
576505,885,1
576509,657,1
576513,495,1
576517,397,1
576521,366,1
576525,381,1
576529,417,1
576533,459,1
576537,489,1
576541,514,1
576545,530,1
576549,534,1
576553,525,1
576557,519,1
576561,523,1
576565,535,1
576569,541,1
576573,534,1
576577,532,1
576581,535,1
576585,545,1
576589,550,1
576593,545,1
576597,544,1
576601,547,1
576605,559,1
576609,565,1
576613,559,1
576617,557,1
576621,564,1
576625,596,1
576629,613,1
576633,585,1
576637,562,1
576641,564,1
576645,605,1
576649,629,1
576653,598,1
576657,577,1
576661,586,1
576665,632,1
576669,652,1
576673,616,1
576677,595,1
576682,602,1
576686,646,1
576690,665,1
576694,626,1
576698,602,1
576702,610,1
576706,657,1
576710,670,1
576714,624,1
576718,597,1
576722,598,1
576726,637,1
576730,648,1
576734,604,1
576738,573,1
576742,569,1
576746,605,1
576750,610,1
576754,562,1
576758,534,1
576762,533,1
576766,570,1
576770,580,1
576774,541,1
576778,519,1
576782,524,1
576786,560,1
576790,569,1
576794,534,1
576798,516,1
576802,521,1
576806,556,1
576810,564,1
576814,526,1
576818,512,1
576822,521,1
576826,560,1
576830,567,1
576834,526,1
576838,509,1
576842,519,1
576846,561,1
576850,569,1
576854,528,1
576858,509,1
576862,521,1
576866,567,1
576870,572,1
576874,532,1
576878,511,1
576882,518,1
576886,562,1
576890,571,1
576894,529,1
576898,509,1
576902,521,1
576906,567,1
576910,570,1
576914,526,1
576918,507,1
576922,518,1
576926,566,1
576930,567,1
576934,521,1
576938,505,1
576942,519,1
576946,561,1
576950,564,1
576954,524,1
576958,509,1
576962,523,1
576966,566,1
576970,565,1
576974,523,1
576978,507,1
576982,519,1
576986,562,1
576990,562,1
576994,522,1
576998,513,1
577002,531,1
577006,576,1
577010,578,1
577014,536,1
577018,521,1
577022,534,1
577026,586,1
577030,601,1
577034,576,1
577038,569,1
577042,585,1
577046,620,1
577050,608,1
577054,564,1
577058,543,1
577062,549,1
577066,582,1
577070,570,1
577074,525,1
577078,504,1
577082,512,1
577086,550,1
577090,542,1
577094,500,1
577098,487,1
577102,505,1
577106,548,1
577110,545,1
577114,505,1
577118,488,1
577122,505,1
577126,547,1
577130,541,1
577134,500,1
577138,488,1
577142,506,1
577146,550,1
577150,546,1
577154,512,1
577158,493,1
577162,493,1
577166,487,1
577170,387,1
577174,248,1
577178,183,1
577182,214,1
577186,376,1
577190,626,1
577194,912,1
577198,1024,1
577202,1024,1
577206,1024,1
577210,1006,1
577214,777,1
577218,536,1
577222,389,1
577226,377,1
577230,382,1
577234,392,1
577238,433,1
577242,483,1
577246,543,1
577250,542,1
577254,507,1
577258,490,1
577262,505,1
577266,546,1
577270,538,1
577274,505,1
577278,495,1
577282,517,1
577286,559,1
577290,547,1
577294,513,1
577298,505,1
577302,528,1
577306,573,1
577310,566,1
577314,531,1
577318,522,1
577322,543,1
577326,589,1
577330,579,1
577334,544,1
578279,504,1
578283,560,1
578287,566,1
578291,514,1
578295,494,1
578299,507,1
578303,560,1
578307,564,1
578311,509,1
578315,489,1
578319,506,1
578323,560,1
578327,561,1
578331,507,1
578335,488,1
578339,506,1
578343,561,1
578347,561,1
578351,508,1
578355,489,1
578359,506,1
578363,560,1
578367,560,1
578371,507,1
578375,488,1
578379,506,1
578383,560,1
578387,556,1
578391,505,1
578395,488,1
578399,506,1
578403,560,1
578407,555,1
578411,504,1
578415,485,1
578419,506,1
578423,568,1
578427,568,1
578431,518,1
578435,499,1
578439,513,1
578443,554,1
578447,568,1
578451,556,1
578455,554,1
578459,562,1
578463,577,1
578467,572,1
578471,555,1
578475,544,1
578479,542,1
578483,543,1
578487,533,1
578491,514,1
578495,504,1
578499,499,1
578503,504,1
578507,497,1
578511,489,1
578515,487,1
578519,489,1
578523,497,1
578527,494,1
578531,487,1
578535,486,1
578539,489,1
578543,497,1
578547,494,1
578551,486,1
578555,486,1
578559,490,1
578563,500,1
578567,497,1
578571,489,1
578575,487,1
578579,486,1
578583,487,1
578587,450,1
578591,360,1
578595,255,1
578599,195,1
578603,207,1
578607,296,1
578611,505,1
578615,806,1
578619,1024,1
578623,1024,1
578627,1024,1
578631,921,1
578635,723,1
578639,535,1
578643,441,1
578647,363,1
578651,317,1
578655,315,1
578659,358,1
578663,437,1
578667,475,1
578671,476,1
578675,471,1
578679,481,1
578683,505,1
578687,499,1
578691,481,1
578695,475,1
578699,485,1
578703,514,1
578707,512,1
578711,494,1
578715,489,1
578719,500,1
578723,528,1
578727,525,1
578731,504,1
578735,495,1
578739,508,1
578743,541,1
578747,537,1
578751,517,1
578755,509,1
578759,523,1
578763,556,1
578767,553,1
578771,531,1
578775,525,1
578779,543,1
578783,581,1
578787,577,1
578791,547,1
578795,542,1
578799,560,1
578803,597,1
578807,592,1
578811,572,1
578815,567,1
578819,585,1
578823,618,1
578827,604,1
578831,576,1
578835,568,1
578839,585,1
578843,618,1
578847,602,1
578851,569,1
578855,555,1
578859,567,1
578863,594,1
578867,567,1
578871,526,1
578875,513,1
578879,530,1
578883,561,1
578887,538,1
578891,500,1
578895,484,1
578899,497,1
578903,532,1
578907,509,1
578911,474,1
578915,466,1
578919,488,1
578923,523,1
578927,506,1
578931,478,1
578935,468,1
578939,476,1
578943,494,1
578947,486,1
578951,477,1
578955,475,1
578959,486,1
578963,519,1
578967,504,1
578971,478,1
578975,474,1
578979,494,1
578983,526,1
578987,507,1
578991,476,1
578995,472,1
578999,497,1
579003,532,1
579007,509,1
579011,480,1
579015,474,1
579019,511,1
579023,565,1
579027,488,1
579031,446,1
579035,454,1
579039,524,1
579043,566,1
579047,489,1
579051,452,1
579055,465,1
579059,536,1
579063,571,1
579067,487,1
579071,451,1
579075,468,1
579079,546,1
579083,581,1
579087,499,1
579091,462,1
579095,478,1
579099,560,1
579103,592,1
579107,506,1
579111,480,1
579115,509,1
579119,605,1
579123,638,1
579127,548,1
579131,512,1
579135,522,1
579139,600,1
579143,615,1
579147,516,1
579151,478,1
579155,487,1
579159,565,1
579163,576,1
579167,472,1
579171,440,1
579175,464,1
579179,553,1
579183,569,1
579187,471,1
579191,442,1
579195,465,1
579199,554,1
579203,567,1
579207,466,1
579211,440,1
579215,468,1
579219,560,1
579223,571,1
579227,471,1
579231,446,1
579235,470,1
579239,561,1
579243,569,1
579247,465,1
579251,410,1
579255,367,1
579259,357,1
579263,284,1
579267,164,1
579271,200,1
579275,415,1
579279,813,1
579283,1024,1
579287,1024,1
579291,1024,1
579295,975,1
579299,867,1
579303,654,1
579307,416,1
579311,315,1
579315,321,1
579319,428,1
579323,465,1
579327,408,1
579331,426,1
579335,476,1
579339,576,1
579343,572,1
579347,469,1
579351,447,1
579355,480,1
579359,580,1
579363,580,1
579367,481,1
579371,464,1
579375,496,1
579379,589,1
579383,586,1
579387,494,1
579391,480,1
579395,513,1
579399,607,1
579403,601,1
579407,508,1
579411,495,1
579415,530,1
579419,624,1
579423,616,1
579427,525,1
579431,516,1
579435,552,1
579439,644,1
579443,630,1
579447,540,1
579451,528,1
579455,570,1
579459,667,1
579463,654,1
579467,562,1
579471,552,1
579475,592,1
579479,686,1
579483,666,1
579487,573,1
579491,562,1
579495,601,1
579499,692,1
579503,672,1
579507,576,1
579511,557,1
579515,594,1
579519,678,1
579523,646,1
579527,547,1
579531,526,1
579535,555,1
579539,638,1
579543,608,1
579548,510,1
579552,494,1
579556,525,1
579560,613,1
579564,584,1
579568,489,1
579572,477,1
579576,514,1
579580,602,1
579584,570,1
579588,480,1
579592,474,1
579596,514,1
579600,603,1
579604,570,1
579608,481,1
579612,474,1
579616,514,1
579620,606,1
579624,571,1
579628,483,1
579632,478,1
579636,521,1
579640,607,1
579644,569,1
579648,484,1
579652,483,1
579656,526,1
579660,615,1
579664,572,1
579668,484,1
579672,481,1
579676,526,1
579680,618,1
579684,578,1
579688,490,1
579692,487,1
579696,533,1
579700,620,1
579704,576,1
579708,489,1
579712,486,1
579716,533,1
579720,621,1
579724,576,1
579728,493,1
579732,490,1
579736,537,1
579740,625,1
579744,577,1
579748,493,1
579752,490,1
579756,540,1
579760,627,1
579764,576,1
579768,494,1
579772,494,1
579776,542,1
579780,625,1
579784,570,1
579788,494,1
579792,501,1
579796,555,1
579800,639,1
579804,583,1
579808,502,1
579812,505,1
579816,566,1
579820,662,1
579824,619,1
579828,547,1
579832,553,1
579836,605,1
579840,680,1
579844,615,1
579848,529,1
579852,523,1
579856,571,1
579860,641,1
579864,570,1
579868,487,1
579872,486,1
579876,536,1
579880,614,1
579884,546,1
579888,471,1
579892,480,1
579896,540,1
579900,619,1
579904,552,1
579908,475,1
579912,477,1
579916,534,1
579920,614,1
579924,545,1
579928,475,1
579932,483,1
579936,543,1
579940,619,1
579944,546,1
579948,472,1
579952,469,1
579956,490,1
579960,483,1
579964,302,1
579968,165,1
579972,176,1
579976,343,1
579980,657,1
579984,904,1
579988,1024,1
579992,1024,1
579996,1024,1
580000,1024,1
580004,831,1
580008,549,1
580012,382,1
580016,378,1
580020,460,1
580024,416,1
580028,402,1
580032,457,1
580036,546,1
580040,625,1
580044,544,1
580048,474,1
580052,480,1
580056,545,1
580060,618,1
580064,541,1
580068,480,1
580072,494,1
580076,562,1
580080,629,1
580084,549,1
580088,488,1
580092,505,1
580096,577,1
580100,645,1
580104,566,1
580108,507,1
580112,519,1
580116,590,1
580120,657,1
580124,579,1
580128,522,1
580132,537,1
580136,609,1
580140,673,1
580144,589,1
580148,535,1
580152,554,1
580156,632,1
580160,705,1
580164,615,1
580168,561,1
580172,580,1
580176,656,1
580180,724,1
580184,632,1
580188,578,1
580192,593,1
580196,667,1
580200,729,1
580204,633,1
580208,577,1
580212,590,1
580216,664,1
580220,721,1
580224,618,1
580228,555,1
580232,562,1
580236,627,1
580240,674,1
580244,572,1
580248,516,1
580252,525,1
580256,597,1
580260,643,1
580264,542,1
580268,487,1
580272,500,1
580276,578,1
580280,627,1
580284,531,1
580288,481,1
580292,499,1
580296,578,1
580300,625,1
580304,528,1
580308,478,1
580312,496,1
580316,576,1
580320,622,1
580324,526,1
580328,481,1
580332,500,1
580336,581,1
580340,626,1
580344,531,1
580348,484,1
580352,502,1
580356,584,1
580360,626,1
580364,529,1
580368,487,1
580372,507,1
580376,589,1
580380,629,1
580384,529,1
580388,485,1
580392,507,1
580396,593,1
580400,633,1
580404,532,1
580408,488,1
580412,508,1
580416,594,1
580420,629,1
580424,529,1
580428,487,1
580432,508,1
580436,596,1
580440,629,1
580444,529,1
580448,488,1
580452,509,1
580456,596,1
580460,628,1
580464,528,1
580468,490,1
580472,513,1
580476,603,1
580480,634,1
580484,529,1
580488,489,1
580492,512,1
580496,604,1
580500,639,1
580504,543,1
580508,509,1
580512,532,1
580516,620,1
580520,646,1
580524,544,1
580528,516,1
580532,552,1
580536,653,1
580540,686,1
580544,588,1
580548,548,1
580552,566,1
580556,648,1
580560,665,1
580564,553,1
580568,509,1
580572,526,1
580576,609,1
580580,622,1
580584,514,1
580588,478,1
580592,499,1
580596,590,1
580600,609,1
580604,507,1
580608,476,1
580612,502,1
580616,596,1
580620,608,1
580624,500,1
580628,471,1
580632,499,1
580636,595,1
580640,608,1
580644,505,1
580648,476,1
580652,502,1
580656,596,1
580660,608,1
580664,497,1
580668,437,1
580672,382,1
580676,374,1
580680,316,1
580684,207,1
580688,257,1
580692,497,1
580696,901,1
580700,1024,1
580704,1024,1
580708,1024,1
580712,1006,1
580716,893,1
580720,668,1
580724,402,1
580728,304,1
580732,329,1
580736,461,1
580740,519,1
580744,460,1
580748,465,1
580752,506,1
580756,603,1
580760,602,1
580764,490,1
580768,465,1
580772,497,1
580776,598,1
580780,601,1
580784,501,1
580788,484,1
580792,519,1
580796,618,1
580800,616,1
580804,516,1
580808,497,1
580812,525,1
580816,622,1
580820,620,1
580824,525,1
580828,509,1
580832,545,1
580836,645,1
580840,639,1
580844,541,1
580848,523,1
580852,561,1
580856,662,1
580860,655,1
580864,559,1
580868,545,1
580872,585,1
580876,685,1
580880,677,1
580884,580,1
580888,566,1
580892,605,1
580896,709,1
580900,693,1
580904,596,1
580908,580,1
580912,613,1
580916,711,1
580920,691,1
580924,592,1
580928,574,1
580932,605,1
580936,693,1
580940,672,1
580944,564,1
580948,541,1
580952,567,1
580956,653,1
580960,627,1
580964,521,1
580968,500,1
580972,533,1
580976,622,1
580980,594,1
580984,490,1
580988,476,1
580992,513,1
580996,607,1
581000,581,1
581004,484,1
581008,471,1
581012,508,1
581016,602,1
581020,573,1
581024,478,1
581029,469,1
581033,511,1
581037,606,1
581041,572,1
581045,474,1
581049,466,1
581053,511,1
581057,606,1
581061,573,1
581065,478,1
581069,471,1
581073,516,1
581077,608,1
581081,573,1
581085,481,1
581089,477,1
581093,523,1
581097,615,1
581101,577,1
581105,484,1
581109,478,1
581113,522,1
581117,612,1
581121,570,1
581125,481,1
581129,478,1
581133,525,1
581137,620,1
581141,577,1
581145,484,1
581149,478,1
581153,525,1
581157,618,1
581161,571,1
581165,481,1
581169,476,1
581173,524,1
581177,616,1
581181,570,1
581185,485,1
581189,484,1
581193,530,1
581197,618,1
581201,568,1
581205,486,1
581209,493,1
581213,547,1
581217,637,1
581221,584,1
581225,498,1
581229,500,1
581233,554,1
581237,646,1
581241,604,1
581245,533,1
581249,542,1
581253,596,1
581257,674,1
581261,608,1
581265,518,1
