timestamp_ms,value,lead_ok
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171147,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171151,4,1
171155,4,1
171159,0,0
171163,0,0
171167,4,1
171171,4,1
171175,4,1
171179,0,0
171183,0,0
171187,4,1
171191,4,1
171195,4,1
171199,0,0
171203,0,0
171207,4,1
171211,4,1
171215,4,1
171219,0,0
171223,0,0
171227,4,1
171231,4,1
171235,4,1
171239,0,0
171243,0,0
171247,4,1
171251,4,1
171255,4,1
171259,0,0
171263,0,0
171267,4,1
171271,4,1
171275,4,1
171279,0,0
171283,0,0
171287,4,1
171291,4,1
171295,4,1
171299,0,0
171303,0,0
171307,4,1
171311,4,1
171315,4,1
171319,0,0
171323,0,0
171327,4,1
171331,4,1
171335,4,1
171339,0,0
171343,0,0
171347,4,1
171351,4,1
171355,4,1
171359,0,0
171363,0,0
171367,4,1
171371,4,1
171375,4,1
171379,0,0
171383,0,0
171387,4,1
171391,4,1
171395,4,1
171399,0,0
171403,0,0
171407,4,1
171411,4,1
171415,4,1
171419,0,0
171423,0,0
171427,4,1
171431,4,1
171435,4,1
171439,0,0
171443,0,0
171447,4,1
171451,4,1
171455,4,1
171459,0,0
171463,0,0
171467,4,1
171471,4,1
171475,4,1
171479,0,0
171483,0,0
171487,4,1
171491,4,1
171495,4,1
171499,0,0
171503,0,0
171507,4,1
171511,4,1
171515,4,1
171519,0,0
171523,0,0
171527,4,1
171531,4,1
171535,4,1
171539,0,0
171543,0,0
171547,4,1
171551,4,1
171555,4,1
171559,0,0
171563,0,0
171567,5,1
171571,4,1
171575,4,1
171579,0,0
171583,0,0
171587,4,1
171591,4,1
171595,4,1
171599,0,0
171603,0,0
171607,4,1
171611,4,1
171615,4,1
171619,0,0
171623,0,0
171627,4,1
171631,4,1
171635,4,1
171639,0,0
171643,0,0
171647,4,1
171651,4,1
171655,4,1
171659,0,0
171663,0,0
171667,4,1
171671,4,1
171675,4,1
171679,0,0
171683,0,0
171687,4,1
171691,4,1
171695,4,1
171699,0,0
171703,0,0
171707,4,1
171711,4,1
171715,4,1
171719,0,0
171723,0,0
171727,4,1
171731,4,1
171735,4,1
171739,0,0
171743,0,0
171747,4,1
171751,4,1
171755,4,1
171759,0,0
171763,0,0
171767,4,1
171771,4,1
171775,4,1
171779,0,0
171783,0,0
171787,4,1
171791,4,1
171795,4,1
171799,0,0
171803,0,0
171807,5,1
171811,4,1
171815,4,1
171819,0,0
171823,0,0
171827,4,1
171831,4,1
171835,4,1
171839,0,0
171843,0,0
171847,4,1
171851,4,1
171855,4,1
171859,0,0
171863,0,0
171867,4,1
171872,4,1
171876,4,1
171880,0,0
171884,0,0
171888,4,1
171892,4,1
171896,4,1
171900,0,0
171904,0,0
171908,4,1
171912,4,1
171916,4,1
171920,0,0
171924,0,0
171928,4,1
171932,4,1
171936,4,1
171940,0,0
171944,0,0
171948,4,1
171952,4,1
171956,4,1
171960,0,0
171964,0,0
171968,4,1
171972,4,1
171976,4,1
171980,0,0
171984,4,1
171988,4,1
171992,4,1
171996,4,1
172000,0,0
172004,0,0
172008,4,1
172012,4,1
172016,4,1
172020,0,0
172024,0,0
172028,4,1
172032,4,1
172036,4,1
172040,0,0
172044,0,0
172048,4,1
172052,4,1
172056,4,1
172060,0,0
172064,0,0
172068,4,1
172072,4,1
172076,4,1
172080,0,0
172084,0,0
172088,5,1
172092,4,1
172096,4,1
172100,0,0
172104,0,0
172108,4,1
172112,4,1
172116,4,1
172120,0,0
172124,0,0
172128,5,1
172132,4,1
172136,4,1
172140,0,0
172144,0,0
172148,4,1
172152,4,1
172156,4,1
172160,0,0
172164,0,0
172168,4,1
172172,4,1
172176,4,1
172180,0,0
172184,0,0
172188,4,1
172192,4,1
172196,4,1
172200,0,0
172204,0,0
172208,5,1
172212,4,1
172216,4,1
172220,0,0
172224,4,1
172228,4,1
172232,4,1
172236,4,1
172240,0,0
172244,0,0
172248,4,1
172252,4,1
172256,4,1
172260,0,0
172264,0,0
173261,0,0
173265,4,1
173269,4,1
173273,4,1
173277,4,1
173281,0,0
173285,4,1
173289,4,1
173293,4,1
173297,4,1
17333281,0,0
173285,4,1
173289,4,1
173293,4,1
173297,4,1
17333281,0,0
173285,4,1
173289,4,1
173293,4,1
173297,4,1
17333281,0,0
173285,4,1
173289,4,1
173293,4,1
173297,4,1
17333281,0,0
173285,4,1
173289,4,1
173293,4,1
173297,4,1
17333281,0,0
173285,4,1
173289,4,1
173293,4,1
173297,4,1
17333281,0,0
173285,4,1
173289,4,1
173293,4,1
173297,4,1
17333281,0,0
173285,4,1
173289,4,1
173293,4,1
173297,4,1
173301,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
1,0,0
173305,4,1
173309,4,1
173313,4,1
173317,4,1
173321,0,0
173325,4,1
173329,4,1
173333,4,1
