timestamp_ms,value,lead_ok
54619,579,1
54623,541,1
54627,584,1
54631,645,1
54635,676,1
54639,673,1
54643,634,1
54647,582,1
54651,552,1
54655,541,1
54659,535,1
54663,532,1
54667,533,1
54671,534,1
54675,534,1
54679,533,1
54683,535,1
54687,536,1
54691,538,1
54695,538,1
54699,534,1
54703,533,1
54707,534,1
54711,536,1
54715,534,1
54719,532,1
54723,533,1
54727,538,1
54731,543,1
54735,544,1
54739,542,1
54743,542,1
54747,544,1
54751,547,1
54755,549,1
54759,549,1
54763,548,1
54767,552,1
54771,553,1
54775,553,1
54779,555,1
54783,556,1
54787,561,1
54791,567,1
54795,568,1
54799,568,1
54803,566,1
54807,568,1
54811,572,1
54815,579,1
54819,583,1
54823,586,1
54827,589,1
54831,594,1
54836,597,1
54840,600,1
54844,601,1
54848,603,1
54852,605,1
54856,606,1
54860,607,1
54864,607,1
54868,609,1
54872,608,1
54876,602,1
54880,588,1
54884,578,1
54888,573,1
54892,573,1
54896,569,1
54900,560,1
54904,550,1
54908,545,1
54912,543,1
54916,541,1
54920,536,1
54924,535,1
54928,536,1
54932,535,1
54936,533,1
54940,528,1
54944,530,1
54948,532,1
54952,532,1
54956,525,1
54960,517,1
54964,516,1
54968,519,1
54972,523,1
54976,523,1
54980,522,1
54984,521,1
54988,521,1
54992,522,1
54996,523,1
55000,522,1
55004,522,1
55008,523,1
55012,525,1
55016,528,1
55020,528,1
55024,528,1
55028,528,1
55032,529,1
55036,531,1
55040,533,1
55044,534,1
55048,535,1
55052,540,1
55056,542,1
55060,541,1
55064,541,1
55068,542,1
55072,541,1
55076,541,1
55080,536,1
55084,535,1
55088,537,1
55092,542,1
55096,544,1
55100,545,1
55104,542,1
55108,541,1
55112,541,1
55116,542,1
55120,546,1
55124,547,1
55128,545,1
55132,544,1
55136,545,1
55140,543,1
55144,541,1
55148,541,1
55152,542,1
55156,544,1
55160,544,1
55164,545,1
55168,546,1
55172,546,1
55176,546,1
55180,546,1
55184,544,1
55188,546,1
55192,552,1
55196,554,1
55200,553,1
55204,547,1
55208,549,1
55212,553,1
55216,553,1
55220,550,1
55224,549,1
55228,553,1
55232,553,1
55236,553,1
55240,553,1
55244,553,1
55248,553,1
55252,553,1
55256,554,1
55260,549,1
55264,545,1
55268,545,1
55272,547,1
55276,552,1
55280,547,1
55284,545,1
55288,543,1
55292,547,1
55296,552,1
55300,553,1
55304,559,1
55308,568,1
55312,571,1
55316,569,1
55320,568,1
55324,566,1
55328,562,1
55332,560,1
55336,556,1
55340,553,1
55344,547,1
55348,545,1
55352,546,1
55356,549,1
55360,550,1
55364,549,1
55368,549,1
55372,552,1
55376,552,1
55380,549,1
55384,547,1
55388,546,1
55392,545,1
55396,541,1
55400,526,1
55404,509,1
55408,488,1
55412,456,1
55416,428,1
55420,429,1
55424,469,1
55428,555,1
55432,677,1
55436,798,1
55440,809,1
55444,703,1
55448,574,1
55452,516,1
55456,536,1
55460,600,1
55464,649,1
55468,656,1
