timestamp_ms,value,lead_ok,ax100,ay100,az100,motion_flag
1402142,1024,1,0,0,0,0
1402150,1024,0,0,0,0,0
1402158,1024,1,0,0,0,0
1402166,914,0,0,0,0,0
1402174,1024,1,0,0,0,0
1402182,1024,1,0,0,0,0
1402190,1024,0,0,0,0,0
1402198,1024,1,0,0,0,0
1402206,914,0,0,0,0,0
1402214,1024,1,0,0,0,0
1402222,1024,1,0,0,0,0
1402230,1024,0,0,0,0,0
1402238,1024,1,0,0,0,0
1402246,909,0,0,0,0,0
1402254,1024,1,0,0,0,0
1402262,1024,1,0,0,0,0
1402270,1024,0,0,0,0,0
1402278,1024,1,0,0,0,0
1402286,906,0,0,0,0,0
1402294,1024,1,0,0,0,0
1402302,1024,1,0,0,0,0
1402310,1024,0,0,0,0,0
1402318,1024,1,0,0,0,0
1402326,907,0,0,0,0,0
1402334,1024,1,0,0,0,0
1402342,1024,1,0,0,0,0
1402350,1024,0,0,0,0,0
1402358,1024,1,0,0,0,0
1402366,901,0,0,0,0,0
1402374,1024,1,0,0,0,0
1402382,1024,1,0,0,0,0
1402390,1024,0,0,0,0,0
1402398,1024,1,0,0,0,0
1402406,908,0,0,0,0,0
1402414,1024,1,0,0,0,0
1402422,1024,1,0,0,0,0
1402430,1024,0,0,0,0,0
1402438,1024,1,0,0,0,0
1402446,902,0,0,0,0,0
1402454,1024,1,0,0,0,0
1402462,1024,1,0,0,0,0
1402470,1024,0,0,0,0,0
1402478,1024,1,0,0,0,0
1402486,898,0,0,0,0,0
1402494,1024,1,0,0,0,0
1402502,1024,1,0,0,0,0
1402510,1024,0,0,0,0,0
1402518,1024,1,0,0,0,0
1402526,889,0,0,0,0,0
1402534,1024,1,0,0,0,0
1402542,1024,1,0,0,0,0
1402550,1024,0,0,0,0,0
1402558,1024,1,0,0,0,0
1402566,885,0,0,0,0,0
1402574,1024,1,0,0,0,0
1402582,1024,1,0,0,0,0
1402590,1024,0,0,0,0,0
1402598,1024,1,0,0,0,0
1402606,878,0,0,0,0,0
1402614,1024,1,0,0,0,0
1402622,1024,1,0,0,0,0
1402630,1024,0,0,0,0,0
1402638,1024,1,0,0,0,0
1402646,919,0,0,0,0,0
1402654,1024,1,0,0,0,0
1402662,1024,1,0,0,0,0
1402670,1024,0,0,0,0,0
1402678,1024,1,0,0,0,0
1402686,845,0,0,0,0,0
1402694,1024,1,0,0,0,0
1402702,1024,1,0,0,0,0
1402710,1024,0,0,0,0,0
1402718,1024,1,0,0,0,0
1402726,895,0,0,0,0,0
1402734,1024,1,0,0,0,0
1402742,1024,1,0,0,0,0
1402750,1024,0,0,0,0,0
1402758,1024,1,0,0,0,0
1402766,896,0,0,0,0,0
1402774,1024,1,0,0,0,0
1402782,1024,1,0,0,0,0
1402790,1024,0,0,0,0,0
1402798,1024,1,0,0,0,0
1402806,894,0,0,0,0,0
1402814,1024,1,0,0,0,0
1402822,1024,1,0,0,0,0
1402830,1024,0,0,0,0,0
1402838,1024,1,0,0,0,0
1402846,894,0,0,0,0,0
1402854,1024,1,0,0,0,0
1402862,1024,1,0,0,0,0
1402870,1024,0,0,0,0,0
1402878,1024,1,0,0,0,0
1402886,871,0,0,0,0,0
1402894,1024,1,0,0,0,0
1402902,1024,1,0,0,0,0
1402910,1024,0,0,0,0,0
1402918,1024,1,0,0,0,0
1402926,867,0,0,0,0,0
1402934,1024,1,0,0,0,0
1402942,1024,1,0,0,0,0
1402950,1024,0,0,0,0,0
1402958,1024,1,0,0,0,0
1402966,900,0,0,0,0,0
1402974,1024,1,0,0,0,0
1402982,1024,1,0,0,0,0
1402990,1024,0,0,0,0,0
1402998,1024,1,0,0,0,0
1403006,905,0,0,0,0,0
1403014,1024,1,0,0,0,0
1403022,1024,1,0,0,0,0
1403030,1024,0,0,0,0,0
1403038,1024,1,0,0,0,0
1403046,902,0,0,0,0,0
1403054,1024,1,0,0,0,0
1403062,1024,1,0,0,0,0
1403070,1024,0,0,0,0,0
1403078,1024,1,0,0,0,0
1403086,896,0,0,0,0,0
1403094,1024,1,0,0,0,0
1403102,1024,1,0,0,0,0
1403110,1024,0,0,0,0,0
1403118,1024,1,0,0,0,0
1403126,896,0,0,0,0,0
1403134,1024,1,0,0,0,0
1403142,1024,1,0,0,0,0
1403150,1024,1,0,0,0,0
1403158,1024,1,0,0,0,0
1403166,902,0,0,0,0,0
1403174,1024,1,0,0,0,0
1403182,1024,1,0,0,0,0
1403190,1024,1,0,0,0,0
1403198,1024,1,0,0,0,0
1403206,906,0,0,0,0,0
1403214,1024,1,0,0,0,0
1403222,1024,1,0,0,0,0
1403230,1024,1,0,0,0,0
1403238,1024,1,0,0,0,0
1403246,907,0,0,0,0,0
1403254,1024,1,0,0,0,0
1403262,1024,1,0,0,0,0
1403270,1024,1,0,0,0,0
1403278,1024,1,0,0,0,0
1403286,903,0,0,0,0,0
1403294,1024,1,0,0,0,0
1403302,1024,1,0,0,0,0
1403310,1024,1,0,0,0,0
1403318,1024,1,0,0,0,0
1403326,906,0,0,0,0,0
1403334,1024,1,0,0,0,0
1403342,1024,1,0,0,0,0
1403350,1024,1,0,0,0,0
1403358,1024,1,0,0,0,0
1403366,918,0,0,0,0,0
1403374,1024,1,0,0,0,0
1403382,1024,1,0,0,0,0
1403390,1024,1,0,0,0,0
1403398,1024,1,0,0,0,0
1403406,921,0,0,0,0,0
1403414,1024,1,0,0,0,0
1403422,1021,1,0,0,0,0
1403430,1024,1,0,0,0,0
1403438,1024,1,0,0,0,0
1403446,932,0,0,0,0,0
1403454,1024,1,0,0,0,0
1403462,1024,1,0,0,0,0
1403470,1024,1,0,0,0,0
1403478,1024,1,0,0,0,0
1403486,953,0,0,0,0,0
1403494,1024,1,0,0,0,0
1403502,1008,1,0,0,0,0
1403510,1024,1,0,0,0,0
1403518,1024,1,0,0,0,0
1403526,881,0,0,0,0,0
1403534,1024,1,0,0,0,0
1403542,1016,1,0,0,0,0
1403550,1024,1,0,0,0,0
1403558,1024,1,0,0,0,0
1403566,948,0,0,0,0,0
1403574,1024,1,0,0,0,0
1403582,1017,1,0,0,0,0
1403590,1024,1,0,0,0,0
1403598,1024,1,0,0,0,0
1404431,1024,1,0,0,0,0
1404439,1024,1,0,0,0,0
1404447,1024,0,0,0,0,0
1404455,1024,1,0,0,0,0
1404463,928,0,0,0,0,0
1404455,1024,1,0,0,0,0
1404463,928,0,0,0,0,0
1404455,1024,1,0,0,0,0
1404463,928,0,0,0,0,0
1404471,1024,1,0,0,0,0
1404479,1024,1,0,0,0,0
1404487,1024,0,0,0,0,0
1404495,1024,1,0,0,0,0
1404503,922,0,0,0,0,0
1404511,1024,1,0,0,0,0
1404519,1024,1,0,0,0,0
1404527,1024,0,0,0,0,0
1404535,1024,1,0,0,0,0
1404543,903,0,0,0,0,0
1404551,1024,1,0,0,0,0
1404559,1024,1,0,0,0,0
1404567,1024,0,0,0,0,0
1404575,1024,1,0,0,0,0
1404583,914,0,0,0,0,0
1404591,1024,1,0,0,0,0
1404599,1024,1,0,0,0,0
1404607,1024,0,0,0,0,0
1404615,1024,1,0,0,0,0
1404623,916,0,0,0,0,0
1404631,1024,1,0,0,0,0
1404639,1024,1,0,0,0,0
1404647,1024,0,0,0,0,0
1404655,1024,1,0,0,0,0
1404663,916,0,0,0,0,0
1404671,1024,1,0,0,0,0
1404679,1024,1,0,0,0,0
1404687,1024,0,0,0,0,0
1404695,1024,1,0,0,0,0
1404703,919,0,0,0,0,0
1404711,1024,1,0,0,0,0
1404719,1024,1,0,0,0,0
1404727,1024,0,0,0,0,0
1404735,1024,1,0,0,0,0
1404743,914,0,0,0,0,0
1404751,1024,1,0,0,0,0
1404759,1024,1,0,0,0,0
1404767,1024,0,0,0,0,0
1404775,1024,1,0,0,0,0
1404783,907,0,0,0,0,0
1404791,1024,1,0,0,0,0
1404799,1024,1,0,0,0,0
1404807,1024,0,0,0,0,0
1404815,1024,1,0,0,0,0
1404823,902,0,0,0,0,0
1404831,1024,1,0,0,0,0
1404839,1024,1,0,0,0,0
1404847,1024,0,0,0,0,0
1404855,1024,1,0,0,0,0
1404863,902,0,0,0,0,0
1404871,1024,1,0,0,0,0
1404879,1024,1,0,0,0,0
1404887,1024,0,0,0,0,0
1404895,1024,1,0,0,0,0
1404903,888,0,0,0,0,0
1404911,1024,1,0,0,0,0
1404919,1024,1,0,0,0,0
1404927,1024,0,0,0,0,0
1404935,1024,1,0,0,0,0
1404943,881,0,0,0,0,0
1404951,1024,1,0,0,0,0
1404959,1024,1,0,0,0,0
1404967,1024,0,0,0,0,0
1404975,1024,1,0,0,0,0
1404983,897,0,0,0,0,0
1404991,1024,1,0,0,0,0
1404999,1024,1,0,0,0,0
1405007,1024,0,0,0,0,0
1405015,1024,1,0,0,0,0
1405023,897,0,0,0,0,0
1405031,1024,1,0,0,0,0
1405039,1024,1,0,0,0,0
1405047,1024,0,0,0,0,0
1405055,1024,1,0,0,0,0
1405063,813,0,0,0,0,0
1405071,1024,1,0,0,0,0
1405079,1024,1,0,0,0,0
1405087,1024,0,0,0,0,0
1405095,1024,1,0,0,0,0
1405103,873,0,0,0,0,0
1405111,1024,1,0,0,0,0
1405119,1024,1,0,0,0,0
1405127,1024,0,0,0,0,0
1405135,1024,1,0,0,0,0
1405143,886,0,0,0,0,0
1405151,1024,1,0,0,0,0
1405159,1024,1,0,0,0,0
1405167,1024,0,0,0,0,0
1405175,1024,1,0,0,0,0
1405183,894,0,0,0,0,0
1405191,1024,1,0,0,0,0
1405199,1024,1,0,0,0,0
1405207,1024,0,0,0,0,0
1405215,1024,1,0,0,0,0
1405223,891,0,0,0,0,0
1405231,1024,1,0,0,0,0
1405239,1024,1,0,0,0,0
1405247,1024,0,0,0,0,0
1405255,1024,1,0,0,0,0
1405263,883,0,0,0,0,0
1405271,1024,1,0,0,0,0
1405279,1024,1,0,0,0,0
1405287,1024,0,0,0,0,0
1405295,1024,1,0,0,0,0
1405303,870,0,0,0,0,0
1405311,1024,1,0,0,0,0
1405319,1024,1,0,0,0,0
1405327,1024,0,0,0,0,0
1405335,1024,1,0,0,0,0
1405343,870,0,0,0,0,0
1405351,1024,1,0,0,0,0
1405359,1024,1,0,0,0,0
1405367,1024,0,0,0,0,0
1405375,1024,1,0,0,0,0
1405383,886,0,0,0,0,0
1405391,1024,1,0,0,0,0
