timestamp_ms,value,lead_ok
1161673,514,1
1161677,513,1
1161681,514,1
1161685,513,1
1161689,512,1
1161693,513,1
1161697,514,1
1161701,513,1
1161706,512,1
1161710,513,1
1161714,514,1
1161718,517,1
1161722,516,1
1161726,514,1
1161730,516,1
1161734,518,1
1161738,521,1
1161742,521,1
1161746,519,1
1161750,519,1
1161754,518,1
1161758,521,1
1161762,522,1
1161766,521,1
1161770,521,1
1161774,521,1
1161778,524,1
1161782,526,1
1161786,525,1
1161790,525,1
1161794,524,1
1161798,525,1
1161802,525,1
1161806,524,1
1161810,526,1
1161814,528,1
1161818,529,1
1161822,529,1
1161826,528,1
1161830,528,1
1161834,528,1
1161838,529,1
1161842,529,1
1161846,529,1
1161850,529,1
1161854,529,1
1161858,531,1
1161862,532,1
1161866,531,1
1161870,532,1
1161874,532,1
1161878,533,1
1161882,532,1
1161886,531,1
1161890,532,1
1161894,533,1
1161898,535,1
1161902,535,1
1161906,533,1
1161910,533,1
1161914,532,1
1161918,534,1
1161922,534,1
1161926,533,1
1161930,536,1
1161934,541,1
1161938,544,1
1161942,545,1
1161946,546,1
1161950,547,1
1161954,547,1
1161958,553,1
1161962,564,1
1161966,577,1
1161970,582,1
1161974,583,1
1161978,581,1
1161982,573,1
1161986,562,1
1161990,556,1
1161994,554,1
1161998,549,1
1162002,538,1
1162006,532,1
1162010,528,1
1162014,525,1
1162018,523,1
1162022,519,1
1162026,517,1
1162030,517,1
1162034,518,1
1162038,519,1
1162042,519,1
1162046,517,1
1162050,517,1
1162054,517,1
1162058,517,1
1162062,518,1
1162066,518,1
1162070,519,1
1162074,518,1
1162078,519,1
1162082,519,1
1162086,518,1
1162090,516,1
1162094,496,1
1162098,436,1
1162102,329,1
1162106,233,1
1162110,194,1
1162114,237,1
1162118,402,1
1162122,699,1
1162126,1017,1
1162130,1024,1
1162134,1024,1
1162138,1024,1
1162142,885,1
1162146,650,1
1162150,480,1
1162154,386,1
1162158,362,1
1162162,368,1
1162166,397,1
1162170,447,1
1162174,486,1
1162178,509,1
1162182,513,1
1162186,507,1
1162190,507,1
1162194,506,1
1162198,509,1
1162202,514,1
1162206,518,1
1162210,521,1
1162214,523,1
1162218,526,1
1162222,526,1
1162226,528,1
1162230,530,1
1162234,532,1
1162238,536,1
1162242,541,1
1162246,543,1
1162250,546,1
1162254,549,1
1162258,553,1
1162262,554,1
1162266,554,1
1162270,556,1
1162274,561,1
1162278,568,1
1162282,570,1
1162286,573,1
1162290,577,1
1162294,580,1
1162298,583,1
1162302,589,1
1162306,594,1
1162310,601,1
1162314,607,1
1162318,610,1
1162322,615,1
1162326,614,1
1162330,614,1
1162334,615,1
1162338,618,1
1162342,620,1
1162346,619,1
1162350,617,1
1162354,613,1
1162358,606,1
1162362,600,1
1162366,589,1
1162370,582,1
1162374,577,1
1162378,570,1
1162382,562,1
1162386,552,1
1162390,545,1
1162394,541,1
1162398,538,1
1162402,535,1
1162406,529,1
1162410,522,1
1162414,519,1
1162418,519,1
1162422,517,1
1162426,514,1
1162430,513,1
1162434,513,1
1162438,513,1
1162442,512,1
1162446,509,1
1162450,509,1
1162454,512,1
1162458,513,1
1162462,513,1
1162466,509,1
1162470,508,1
1162474,509,1
1162478,512,1
1162482,513,1
1162486,512,1
1162490,511,1
1162494,512,1
1162498,517,1
1162503,518,1
1162507,514,1
1162511,514,1
1162515,517,1
1162519,522,1
1162523,523,1
1162527,521,1
1162531,521,1
1162535,521,1
1162539,523,1
1162543,522,1
1162547,519,1
1162551,521,1
1162555,522,1
1162559,525,1
1162563,526,1
1162567,526,1
1162571,526,1
1162575,528,1
1162579,532,1
1162583,530,1
1162587,525,1
1162591,525,1
1162595,528,1
1162599,533,1
1162603,534,1
1162607,532,1
1162611,532,1
1162615,533,1
1162619,534,1
1162623,534,1
1162627,533,1
1162631,533,1
1162635,533,1
1162639,536,1
1162643,542,1
1162647,545,1
1162651,545,1
1162655,546,1
1162659,547,1
1162663,549,1
1162667,550,1
1162671,561,1
1162675,576,1
1162679,588,1
1162683,592,1
1162687,592,1
1162691,588,1
1162695,581,1
1162699,577,1
1162703,568,1
1162707,559,1
1162711,552,1
1162715,543,1
1162719,538,1
1162723,533,1
1162727,526,1
1162731,525,1
1163792,600,1
1163796,606,1
1163800,610,1
1163804,614,1
111163792,600,1
1163796,606,1
1163800,610,1
1163804,614,1
111163792,600,1
1163796,606,1
1163800,610,1
1163804,614,1
111163792,600,1
1163796,606,1
1163800,610,1
1163804,614,1
1163808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
63808,615,1
1163812,618,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163816,620,1
1163820,624,1
1163824,625,1
1163828,624,1
1163832,620,1
1163836,619,1
1163840,618,1
1163844,610,1
1163848,604,1
1163852,596,1
1163856,590,1
1163860,582,1
1163864,573,1
1163868,566,1
1163872,558,1
1163876,554,1
1163880,548,1
1163884,541,1
1163888,533,1
1163892,528,1
1163896,525,1
1163900,523,1
1163904,521,1
1163908,518,1
1163912,517,1
1163916,517,1
1163920,518,1
1163924,514,1
1163928,513,1
1163932,514,1
1163936,518,1
1163940,519,1
1163944,517,1
1163948,516,1
1163952,514,1
1163956,514,1
1163960,517,1
1163964,516,1
1163968,514,1
1163972,516,1
1163976,519,1
1163980,522,1
1163984,521,1
1163988,520,1
1163992,521,1
1163996,525,1
1164000,526,1
1164004,525,1
1164008,525,1
1164012,525,1
1164016,525,1
1164020,526,1
1164024,526,1
1164028,526,1
1164032,528,1
1164036,530,1
1164040,532,1
1164044,532,1
1164048,532,1
1164052,533,1
1164056,533,1
1164060,533,1
1164064,531,1
1164068,532,1
1164072,533,1
1164076,533,1
1164080,533,1
1164085,533,1
1164089,533,1
1164093,534,1
1164097,536,1
1164101,538,1
1164105,536,1
1164109,534,1
1164113,534,1
1164117,535,1
1164121,537,1
1164125,535,1
1164129,534,1
1164133,535,1
1164137,535,1
1164141,535,1
1164145,534,1
1164149,533,1
1164153,534,1
1164157,536,1
1164161,535,1
1164165,533,1
1164169,532,1
1164173,534,1
1164177,536,1
1164181,538,1
1164185,536,1
1164189,535,1
1164193,536,1
1164197,540,1
1164201,542,1
1164205,538,1
1164209,535,1
1164213,536,1
1164217,541,1
1164221,542,1
1164225,543,1
1164229,547,1
1164233,552,1
1164237,552,1
1164241,553,1
1164245,554,1
1164249,554,1
1164253,556,1
1164257,568,1
1164261,582,1
1164265,588,1
1164269,586,1
1164273,582,1
1164277,579,1
1164281,571,1
1164285,560,1
1164289,553,1
1164293,547,1
1164297,542,1
1164301,541,1
1164305,535,1
1164309,529,1
1164313,524,1
1164317,522,1
1164321,521,1
1164325,518,1
1164329,518,1
1164333,518,1
1164337,521,1
1164341,523,1
1164345,522,1
1164349,522,1
1164353,523,1
1164357,525,1
1164361,526,1
1164365,522,1
1164369,522,1
1164373,522,1
1164377,523,1
1164381,526,1
1164385,519,1
1164389,499,1
1164393,442,1
1164397,341,1
1164401,242,1
1164405,189,1
1164409,216,1
1164413,357,1
1164417,644,1
1164421,979,1
1164425,1024,1
1164429,1024,1
1164433,1024,1
1164437,961,1
1164441,737,1
1164445,514,1
1164449,380,1
1164453,355,1
1164457,375,1
1164461,416,1
1164465,463,1
1164469,494,1
1164473,513,1
1164477,519,1
1164481,519,1
1164485,513,1
1164489,507,1
1164493,508,1
1164497,513,1
1164501,518,1
1164505,519,1
1164509,522,1
1164513,525,1
1164517,529,1
1164521,532,1
1164525,531,1
1164529,532,1
1164533,533,1
1164537,536,1
1164541,541,1
1164545,542,1
1164549,542,1
1164553,545,1
1164557,550,1
1164561,555,1
1164565,557,1
1164569,560,1
1164573,562,1
1164577,569,1
1164581,577,1
1164585,579,1
1164589,580,1
1164593,584,1
1164597,589,1
1164601,595,1
1164605,598,1
1164609,604,1
1164613,608,1
1164617,615,1
1164621,618,1
1164625,616,1
1164629,618,1
1164633,619,1
1164637,622,1
1164641,621,1
1164645,616,1
1164649,614,1
1164653,609,1
1164657,607,1
1164661,601,1
1164665,591,1
1164669,581,1
1164673,572,1
1164677,566,1
1164681,560,1
1164685,554,1
1164689,546,1
1164693,538,1
1164697,531,1
1164701,526,1
1164705,522,1
1164709,519,1
1164713,516,1
1164717,514,1
1164721,513,1
1164725,509,1
1164729,508,1
1164733,508,1
1164737,509,1
1164741,508,1
1164745,507,1
1164749,506,1
1164753,506,1
1164757,508,1
1164761,509,1
1164765,509,1
1164769,508,1
1164773,509,1
1164777,509,1
1164781,508,1
1164785,506,1
1164789,505,1
1164793,507,1
1164797,513,1
1164801,517,1
1164805,514,1
1164809,512,1
1164813,511,1
1164817,513,1
1164821,516,1
1164825,517,1
1164829,518,1
1164833,518,1
1164837,518,1
1164841,518,1
1164845,518,1
1164849,521,1
1164853,525,1
1164857,526,1
1164861,526,1
1164865,524,1
1164869,523,1
1164873,525,1
1164877,528,1
1164882,529,1
1164886,528,1
1164890,526,1
1164894,526,1
1164898,528,1
1164902,529,1
1164906,528,1
1164910,526,1
1164914,528,1
1164918,530,1
1164922,529,1
1164926,526,1
1164930,526,1
1164934,523,1
1164938,523,1
1164942,526,1
1164946,526,1
1164950,526,1
1164954,526,1
1164958,528,1
1164962,529,1
1164966,528,1
1164970,526,1
1164974,528,1
1164978,528,1
1164982,531,1
1164986,533,1
1164990,537,1
1164994,542,1
1164998,546,1
1165002,552,1
1165006,550,1
1165010,547,1
1165014,555,1
1165018,572,1
1165022,584,1
1165026,584,1
1165030,581,1
1165034,578,1
1165038,573,1
1165042,567,1
1165046,557,1
1165050,553,1
1165054,546,1
1165058,542,1
1165062,538,1
1165066,532,1
1165070,524,1
1165074,523,1
1165078,523,1
1165082,522,1
1165086,521,1
1165090,522,1
1165094,523,1
1165098,525,1
1165102,525,1
1165106,523,1
1165110,522,1
1165114,524,1
1165118,528,1
1165122,531,1
1165126,529,1
1165130,526,1
1165134,525,1
1165138,528,1
1165142,531,1
1165146,523,1
1165150,494,1
1165154,424,1
1165158,318,1
1165162,236,1
1165166,213,1
1165170,281,1
1165174,482,1
1165178,789,1
1165182,1024,1
1165186,1024,1
1165190,1024,1
1165194,1024,1
1165198,874,1
1165202,642,1
1165206,488,1
1165210,404,1
1165214,376,1
1165218,382,1
1165222,410,1
1165226,452,1
1165230,488,1
1165234,513,1
1165238,523,1
1165242,523,1
1165246,523,1
1165250,524,1
1165254,526,1
1165258,530,1
1165262,534,1
1165266,535,1
1165270,538,1
1165274,543,1
1165278,546,1
1165282,549,1
1165286,549,1
1165290,552,1
1165294,554,1
1165298,559,1
1165302,562,1
1165306,562,1
1165310,562,1
1165314,566,1
1165318,571,1
1165322,577,1
1165326,578,1
1165330,580,1
1165334,582,1
1165338,588,1
1165342,591,1
1165346,594,1
1165350,598,1
1165354,604,1
1165358,609,1
1165362,615,1
1165366,618,1
1165370,622,1
1165374,626,1
1165378,631,1
1165382,634,1
1165386,634,1
1165390,634,1
1165394,634,1
1165398,634,1
1165402,633,1
1165406,628,1
1165410,626,1
1165414,622,1
1165418,619,1
1165422,614,1
1165426,605,1
1165430,595,1
1165434,586,1
1165438,580,1
1165442,574,1
1165446,567,1
1165450,559,1
1165454,553,1
1165458,549,1
1165462,546,1
1165466,542,1
1165470,538,1
1165474,538,1
1165478,538,1
1165482,537,1
1165486,534,1
1165490,534,1
1165494,533,1
1165498,535,1
1165502,536,1
1165506,535,1
1165510,535,1
1165514,534,1
1165518,534,1
1165522,535,1
1165526,535,1
1165530,535,1
1165534,536,1
1165538,538,1
1165542,538,1
1165546,535,1
1165550,536,1
1165554,538,1
1165558,542,1
1165562,542,1
1165566,540,1
1165570,538,1
1165574,540,1
1165578,542,1
1165582,543,1
1165586,541,1
1165590,541,1
1165594,542,1
1165598,545,1
1165602,545,1
1165606,544,1
1165610,544,1
1165614,545,1
1165618,546,1
1165622,546,1
1165626,543,1
1165630,543,1
1165634,545,1
1165638,546,1
1165642,547,1
1165646,544,1
1165650,543,1
1165654,545,1
1165658,547,1
1165662,549,1
1165666,546,1
1165670,547,1
1165674,548,1
1165679,550,1
1165683,550,1
1165687,547,1
1165691,545,1
1165695,545,1
1165699,546,1
1165703,549,1
1165707,548,1
1165711,549,1
1165715,550,1
1165719,552,1
1165723,553,1
1165727,550,1
1165731,550,1
1165735,552,1
1165739,554,1
1165743,553,1
1165747,549,1
1165751,549,1
1165755,552,1
1165759,554,1
1165763,555,1
1165767,554,1
1165771,552,1
1165775,552,1
1165779,553,1
1165783,553,1
1165787,553,1
1165791,557,1
1165795,562,1
1165799,567,1
1165803,569,1
1165807,568,1
1165811,568,1
1165815,569,1
1165819,578,1
1165823,593,1
1165827,602,1
1165831,605,1
1165835,605,1
1165839,602,1
1165843,595,1
1165847,584,1
1165851,576,1
1165855,570,1
1165859,567,1
1165863,560,1
1165867,553,1
1165871,547,1
1165875,544,1
1165879,542,1
1165883,541,1
1165887,536,1
1165891,538,1
1165895,542,1
1165899,542,1
1165903,540,1
1165907,534,1
1165911,534,1
1165915,536,1
1165919,538,1
1165923,541,1
1165927,538,1
1165931,536,1
1165935,535,1
1165939,538,1
1165943,540,1
1165947,536,1
1165951,528,1
1165955,494,1
1165959,408,1
1165963,295,1
1165967,210,1
1165971,195,1
1165975,273,1
1165979,502,1
1165983,833,1
1165987,1024,1
1165991,1024,1
1165995,1024,1
1165999,1024,1
1166003,926,1
1166007,674,1
1166011,456,1
1166015,369,1
1166019,382,1
1166023,426,1
1166027,470,1
1166031,499,1
1166035,518,1
1166039,528,1
1166043,530,1
1166047,525,1
1166051,518,1
1166055,517,1
1166059,521,1
1166063,524,1
1166067,525,1
1166071,525,1
1166075,528,1
1166079,533,1
1166083,536,1
1166087,536,1
1166091,538,1
1166095,542,1
1166099,545,1
1166103,549,1
1166107,550,1
1166111,553,1
1166115,555,1
1166119,559,1
1166123,561,1
1166127,561,1
1166131,561,1
